,0,1,2,3
167,"So, you're on a boat",4651,5,https://www.ted.com/playlists/538/so_you_re_on_a_boat
168,Talks for gamers,5354,5,https://www.ted.com/playlists/535/talks_for_gamers
169,Life lessons from writers,4227,5,https://www.ted.com/playlists/533/life_lessons_from_writers
170,How your brain functions in different situations,7903,10,https://www.ted.com/playlists/534/how_your_brain_functions_in_different_situations
171,TEDNYC Design Lab,4262,7,https://www.ted.com/playlists/532/tednyc_design_lab
172,What to know about cybercrime,4523,6,https://www.ted.com/playlists/531/what_to_know_about_cybercrime
173,Building introspective spaces,3233,4,https://www.ted.com/playlists/530/building_introspective_spaces
174,TED counts down ,4954,10,https://www.ted.com/playlists/527/ted_counts_down
175,The art of the interview,15940,12,https://www.ted.com/playlists/529/the_art_of_the_interview
176,"Kids, teens and their great big ideas",3056,7,https://www.ted.com/playlists/528/kids_teens_and_their_great_big_ideas
177,What comes after grief?,3641,5,https://www.ted.com/playlists/526/what_comes_after_grief
178,Talks to help you believe in love again,5825,7,https://www.ted.com/playlists/524/talks_to_help_you_believe_in_love_again
179,When school's out for the summer,3940,8,https://www.ted.com/playlists/525/when_school_s_out_for_the_summer
180,The air around us,2418,4,https://www.ted.com/playlists/523/the_air_around_us
181,Talks to help you (re)design your apartment,4824,7,https://www.ted.com/playlists/522/talks_to_help_you_re_design_y
182,Talks to watch when you're frustrated,4300,5,https://www.ted.com/playlists/521/talks_to_watch_when_you_re_fru
183,How architecture can connect us,6500,7,https://www.ted.com/playlists/520/how_architecture_can_connect_u
184,Faith in the modern world,8700,9,https://www.ted.com/playlists/519/faith_in_the_modern_world
185,TED Talks en Español,12383,15,https://www.ted.com/playlists/518/ted_talks_en_espa%C3%B1ol
186,Regrowing the human body,4596,5,https://www.ted.com/playlists/517/regrowing_the_human_body
187,Fascinating windows into humanity,2869,5,https://www.ted.com/playlists/516/fascinating_windows_into_human
188,How to live many lives,5098,6,https://www.ted.com/playlists/515/how_to_live_many_lives
189,The inherent bias in our technology,2688,4,https://www.ted.com/playlists/514/the_inherent_bias_in_our_techn
190,Poor design… and how to make it better,4253,5,https://www.ted.com/playlists/513/poor_design_and_how_to_make_i
191,The line between success and failure,4622,7,https://www.ted.com/playlists/512/the_line_between_success_and_f
192,Finding and bringing closure ,4870,7,https://www.ted.com/playlists/511/finding_and_bringing_closure
193,Sounds of the wild ,5517,5,https://www.ted.com/playlists/510/sounds_of_the_wild
194,Things to do to make STEAM learning (more!) fun,5724,9,https://www.ted.com/playlists/509/things_to_do_to_make_steam_lea
195,Talks by TV and movie icons,5212,5,https://www.ted.com/playlists/508/talks_by_tv_and_movie_icons
196,Seeing sound and hearing color,2783,5,https://www.ted.com/playlists/504/seeing_sound_and_hearing_color
197,Get paid what you’re worth ,1859,3,https://www.ted.com/playlists/507/get_paid_what_you_re_worth
198,New thoughts on addiction,2572,3,https://www.ted.com/playlists/506/new_thoughts_on_addiction
199,What death can teach you about life,5895,7,https://www.ted.com/playlists/505/what_death_can_teach_you_about
200,Fighting impostor syndrome,4214,6,https://www.ted.com/playlists/503/fighting_impostor_syndrome
201,How microbes shape our world,5004,6,https://www.ted.com/playlists/502/how_microbes_shape_our_world
202,Talks for when you want to start a garden,5356,9,https://www.ted.com/playlists/501/talks_for_when_you_want_to_sta_2
203,Talks to help you find the ideal employee,4606,6,https://www.ted.com/playlists/500/talks_to_help_you_find_the_ide
204,Talks for the fiber arts lover,4114,6,https://www.ted.com/playlists/499/talks_for_the_fiber_arts_lover
205,What’s really floating out in space?,4073,7,https://www.ted.com/playlists/498/what_s_really_floating_out_in
206,Practice makes perfect,7059,9,https://www.ted.com/playlists/497/practice_makes_perfect
207,Things you've probably never noticed,3619,4,https://www.ted.com/playlists/496/things_you_ve_probably_never_n
208,How data can save lives,3327,4,https://www.ted.com/playlists/495/how_data_can_save_lives
209,Get into your genes,4498,6,https://www.ted.com/playlists/494/get_into_your_genes
210,Why climate change is a human rights issue,5377,5,https://www.ted.com/playlists/493/why_climate_change_is_a_human
211,"Why yes, actually it is rocket science",4843,7,https://www.ted.com/playlists/492/why_yes_actually_it_is_rocket
212,"In celebration of being alone, but not lonely",6298,6,https://www.ted.com/playlists/491/in_celebration_of_being_alone
213,Love + technology = ?,4917,5,https://www.ted.com/playlists/490/love_technology
214,How do ideas travel? ,7697,10,https://www.ted.com/playlists/489/how_do_ideas_travel
215,Misconceptions of Islam and Muslim life,8690,10,https://www.ted.com/playlists/488/misconceptions_of_islam_and_mu
216,For the love of facts! ,7608,8,https://www.ted.com/playlists/487/for_the_love_of_facts
217,TED Talks by women leaders,15434,16,https://www.ted.com/playlists/486/ted_talks_by_strong_women_lead
218,How does time affect you?,3481,6,https://www.ted.com/playlists/485/how_does_time_affect_you
219,Jaw-dropping science breakthroughs,7399,9,https://www.ted.com/playlists/484/jaw_dropping_science_breakthro
220,Talks for when you want to laugh and think,7199,8,https://www.ted.com/playlists/483/talks_for_when_you_want_to_lau
221,Talks to support a healthy debate,4699,7,https://www.ted.com/playlists/482/talks_to_support_a_healthy_deb
222,Personal stories from conflict zones,6696,9,https://www.ted.com/playlists/481/personal_stories_from_conflict
223,Talks on folklore,2074,4,https://www.ted.com/playlists/480/talks_on_folklore
224,Statistically speaking … ,7636,10,https://www.ted.com/playlists/479/statistically_speaking
225,Talks for when you’re expecting a child,9456,12,https://www.ted.com/playlists/478/talks_for_when_you_re_expectin
226,What makes Earth so special?,6971,8,https://www.ted.com/playlists/477/what_makes_earth_so_special
227,Powerful art activism,5231,9,https://www.ted.com/playlists/476/powerful_art_activism
228,Mind-bending questions from physics,5010,5,https://www.ted.com/playlists/475/mind_bending_questions_from_ph
229,Big solutions using cell phones,6407,10,https://www.ted.com/playlists/473/big_solutions_using_cell_phone
230,The best Hans Rosling talks you’ve ever seen,9113,10,https://www.ted.com/playlists/474/the_best_hans_rosling_talks_yo
231,What does family mean?,8939,9,https://www.ted.com/playlists/472/what_does_family_mean
232,Let’s end the silence around abuse,6046,7,https://www.ted.com/playlists/471/let_s_end_the_silence_around_a
233,How to pop our filter bubbles,6147,9,https://www.ted.com/playlists/470/how_to_pop_our_filter_bubbles
234,TED’s how-to guide to everyday life,11180,15,https://www.ted.com/playlists/469/ted_s_how_to_guide_to_everyday
235,How to overcome your fears,6834,9,https://www.ted.com/playlists/468/how_to_overcome_your_fears
236,Short talks to watch during your coffee break,2842,10,https://www.ted.com/playlists/467/short_talks_to_watch_during_yo
237,TED Starter Pack,15365,15,https://www.ted.com/playlists/466/ted_starter_pack
238,The logic of loving yourself,5586,7,https://www.ted.com/playlists/465/the_logic_of_loving_yourself
239,How to run a company like a visionary,5875,7,https://www.ted.com/playlists/464/how_to_run_a_company_like_a_vi
240,Eye-opening undercover journalism,3268,4,https://www.ted.com/playlists/463/eye_opening_undercover_journal
241,Talks for procrastinators,8548,11,https://www.ted.com/playlists/462/talks_for_procrastinators
242,Talks to remind you that your story isn’t over,7454,9,https://www.ted.com/playlists/461/talks_to_remind_you_that_your
243,Talks for aspiring rockstars,4214,6,https://www.ted.com/playlists/460/talks_for_aspiring_rockstars
244,The gender spectrum,6002,7,https://www.ted.com/playlists/459/the_gender_spectrum
245,Talks for when you’re in the mood for adventure,6164,9,https://www.ted.com/playlists/458/talks_for_when_you_re_in_the_m
246,How we can be better going forward in 2017,5202,7,https://www.ted.com/playlists/457/how_we_can_be_better_going_for
247,Best science and tech of 2016,9818,13,https://www.ted.com/playlists/456/best_science_and_tech_of_2016
248,The fabulous life of germs,6426,8,https://www.ted.com/playlists/455/the_fabulous_life_of_germs
249,Blueprints for the next generation,6335,8,https://www.ted.com/playlists/454/blueprints_for_the_next_genera
250,Curator's Picks: Top 10 TED Talks of 2016,7897,10,https://www.ted.com/playlists/453/curator_s_picks_top_10_ted_ta
251,The most popular talks of 2016,7935,10,https://www.ted.com/playlists/451/the_most_popular_talks_of_2016
252,What 2016 taught us about ourselves,10496,13,https://www.ted.com/playlists/450/what_2016_taught_us_about_ours
253,Let’s redesign the medical experience!,4142,4,https://www.ted.com/playlists/449/let_s_redesign_the_medical_exp
254,What are we really teaching AI?,10691,13,https://www.ted.com/playlists/448/what_are_we_really_teaching_ai
255,How to make compassion thrive ,6142,7,https://www.ted.com/playlists/447/how_to_make_compassion_thrive
256,Rethinking how we use the senses,3691,5,https://www.ted.com/playlists/446/rethinking_how_we_use_the_sens
257,Talks to help you understand social justice,7905,9,https://www.ted.com/playlists/445/talks_to_help_you_understand_s
258,When your beliefs are being challenged,5547,7,https://www.ted.com/playlists/444/when_your_beliefs_are_being_ch
259,The fight against Alzheimer’s and dementia,2366,5,https://www.ted.com/playlists/443/the_fight_against_alzheimer_s
260,Talks that explain difficult topics to kids,4755,8,https://www.ted.com/playlists/442/talks_that_explain_difficult_t
261,Talks that'll inspire you to learn a new language,5804,8,https://www.ted.com/playlists/441/talks_that_ll_inspire_you_to_l
262,How the brain takes care of itself,3446,4,https://www.ted.com/playlists/440/how_the_brain_takes_care_of_it
263,What is the Anthropocene?,7489,8,https://www.ted.com/playlists/439/what_is_the_anthropocene
264,Talks for veterans,5205,7,https://www.ted.com/playlists/438/talks_for_veterans
265,Talks that will keep you up at night,7928,10,https://www.ted.com/playlists/433/talks_that_will_keep_you_up_at
266,The future of surgery,5503,7,https://www.ted.com/playlists/437/the_future_of_surgery
267,Talks to watch when student debt is getting you down,3825,5,https://www.ted.com/playlists/436/talks_to_watch_when_student_de
268,Talks that'll inspire you to unplug ,7249,8,https://www.ted.com/playlists/435/talks_that_ll_inspire_you_to_u
269,What can robots teach us about being human?,2980,4,https://www.ted.com/playlists/434/what_can_robots_teach_us_about
270,What you need to know about medicine,6101,8,https://www.ted.com/playlists/432/what_you_need_to_know_about_me
271,The power of collaboration,6622,8,https://www.ted.com/playlists/431/the_power_of_collaboration
272,"Modern myths, debunked",6564,7,https://www.ted.com/playlists/430/modern_myths_debunked
273,Searching for knowledge across disciplines,2401,4,https://www.ted.com/playlists/429/searching_for_knowledge_across
274,The emotional impact of architecture,8837,10,https://www.ted.com/playlists/428/the_emotional_impact_of_archit
275,Unheard and forgotten stories,4386,5,https://www.ted.com/playlists/427/unheard_and_forgotten_stories
276,Is it time for de-extinction?,4285,5,https://www.ted.com/playlists/426/is_it_time_for_de_extinction
277,Things that build themselves,2163,4,https://www.ted.com/playlists/425/things_that_build_themselves
278,The deadly genius of organized crime,4391,5,https://www.ted.com/playlists/424/the_deadly_genius_of_organized
279,The rise of Africa’s next generation,5002,5,https://www.ted.com/playlists/423/the_rise_of_africa_s_next_gene
280,Talks to help you negotiate,5380,6,https://www.ted.com/playlists/422/talks_to_help_you_negotiate
281,Talks for when you want to start a new hobby,7557,8,https://www.ted.com/playlists/421/talks_for_when_you_want_to_sta_1
282,For the love of comics and cartoons,6557,8,https://www.ted.com/playlists/420/for_the_love_of_comics_and_car
283,"Dude, where's my driverless car?",3069,5,https://www.ted.com/playlists/419/dude_where_s_my_driverless_ca
284,The benefits of failure,5084,6,https://www.ted.com/playlists/418/the_benefits_of_failure
285,TED MacArthur Grant winners,14397,16,https://www.ted.com/playlists/417/ted_macarthur_grant_winners
286,The history of the future,5106,6,https://www.ted.com/playlists/416/the_history_of_the_future
287,"Walk, walk, fashion baby",5176,9,https://www.ted.com/playlists/415/walk_walk_fashion_baby
288,What's the big deal about Mars?,5844,6,https://www.ted.com/playlists/414/what_s_the_big_deal_about_mars
289,The beauty of strangers,5933,8,https://www.ted.com/playlists/413/the_beauty_of_strangers
290,Talks for neat freaks,5794,7,https://www.ted.com/playlists/412/talks_for_neat_freaks
291,Bridging cultural differences,6911,9,https://www.ted.com/playlists/411/bridging_cultural_differences
292,How scientists learn,7748,8,https://www.ted.com/playlists/410/how_scientists_learn
293,Let’s get nerdy,9334,11,https://www.ted.com/playlists/409/let_s_get_nerdy
294,"History, visualized",3882,6,https://www.ted.com/playlists/408/history_visualized
